date,country,central_bank,series,rate_pct,rate_lower_pct,rate_upper_pct,rate_mid_pct,frequency,unit,source,source_url,note
2008-08-07,Korea,Bank of Korea,base_rate,5.25,5.25,5.25,5.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2008-10-09,Korea,Bank of Korea,base_rate,5.0,5.0,5.0,5.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2008-10-27,Korea,Bank of Korea,base_rate,4.25,4.25,4.25,4.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2008-11-07,Korea,Bank of Korea,base_rate,4.0,4.0,4.0,4.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2008-12-11,Korea,Bank of Korea,base_rate,3.0,3.0,3.0,3.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2009-01-09,Korea,Bank of Korea,base_rate,2.5,2.5,2.5,2.5,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2009-02-12,Korea,Bank of Korea,base_rate,2.0,2.0,2.0,2.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2010-07-09,Korea,Bank of Korea,base_rate,2.25,2.25,2.25,2.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2010-11-16,Korea,Bank of Korea,base_rate,2.5,2.5,2.5,2.5,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2011-01-13,Korea,Bank of Korea,base_rate,2.75,2.75,2.75,2.75,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2011-03-10,Korea,Bank of Korea,base_rate,3.0,3.0,3.0,3.0,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
2011-06-10,Korea,Bank of Korea,base_rate,3.25,3.25,3.25,3.25,event,Percent per year,Bank of Korea base-rate history page,https://www.bok.or.kr/portal/singl/baseRate/list.do?dataSeCd=01&menuNo=200643,Before 2008-03 this is the target call rate; from 2008-03 it is the BOK base rate.
