report_date,asset,label,symbol,amount_krw,buy_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2018-09-06,silver,KODEX 은선물(H),144600.KS,150000,2018-09-06,3249.8125,46.15650902936708,12600.0,581572,431572,2.877146758466835
2018-09-06,equity,TIGER 미국나스닥100,133690.KS,550000,2018-09-06,36861.8945,14.920557041194195,199440.0,2975756,2425756,4.410465265992309
2018-10-06,cash,KODEX 단기채권,153130.KS,550000,2018-10-05,97557.3516,5.637709421084921,113255.0,638499,88499,0.16090687360904132
2018-10-06,gold,KODEX 골드선물(H),132030.KS,300000,2018-10-05,8781.4199,34.16303999455526,25450.0,869449,569449,1.8981645595381047
2018-10-06,silver,KODEX 은선물(H),144600.KS,150000,2018-10-05,3339.5312,44.91648341365274,12600.0,565948,415948,2.7729846067468302
2018-10-06,equity,TIGER 미국나스닥100,133690.KS,500000,2018-10-05,36986.9648,13.518276022707747,199440.0,2696085,2196085,4.392169939937666
2018-11-06,cash,KODEX 단기채권,153130.KS,550000,2018-11-06,97692.1641,5.629929537113431,113255.0,637618,87618,0.15930485404687578
2018-11-06,gold,KODEX 골드선물(H),132030.KS,250000,2018-11-06,8965.5068,27.88464774773195,25450.0,709664,459664,1.8386571407191123
2018-11-06,silver,KODEX 은선물(H),144600.KS,150000,2018-11-06,3349.5,44.782803403493055,12600.0,564263,414263,2.7617554858934166
2018-11-06,equity,TIGER 미국나스닥100,133690.KS,550000,2018-11-06,33850.5859,16.247872371116177,199440.0,3240476,2690476,4.8917739376280185
2018-12-06,cash,KODEX 단기채권,153130.KS,550000,2018-12-06,97817.3359,5.622725202324262,113255.0,636802,86802,0.15782135052588053
2018-12-06,gold,KODEX 골드선물(H),132030.KS,250000,2018-12-06,9025.21,27.700186597546043,25450.0,704970,454970,1.8198789956301868
2018-12-06,silver,KODEX 은선물(H),144600.KS,150000,2018-12-06,3289.6875,45.59703619264748,12600.0,574523,424523,2.8301510401823884
2018-12-06,equity,TIGER 미국나스닥100,133690.KS,550000,2018-12-06,32715.3496,16.811680344763623,199440.0,3352922,2802922,5.096220959926649
2019-01-06,cash,KODEX 단기채권,153130.KS,550000,2019-01-04,97987.0547,5.6129863455336855,113255.0,635699,85699,0.15581594284257738
2019-01-06,gold,KODEX 골드선물(H),132030.KS,250000,2019-01-04,9413.2842,26.558212333530065,25450.0,675907,425907,1.7036260155533607
2019-01-06,silver,KODEX 은선물(H),144600.KS,150000,2019-01-04,3573.7969,41.97216720662111,12600.0,528849,378849,2.5256620453561736
2019-01-06,equity,TIGER 미국나스닥100,133690.KS,550000,2019-01-04,30471.6738,18.049549988696597,199440.0,3599802,3049802,5.545094999537544
2019-02-06,cash,KODEX 단기채권,153130.KS,550000,2019-02-01,98104.5469,5.606264108235299,113255.0,634937,84937,0.15443171196034333
2019-02-06,gold,KODEX 골드선물(H),132030.KS,250000,2019-02-01,9567.5186,26.130077362380998,25450.0,665010,415010,1.6600418754903856
2019-02-06,silver,KODEX 은선물(H),144600.KS,150000,2019-02-01,3618.6562,41.45185108422498,12600.0,522293,372293,2.4819554910748978
2019-02-06,equity,TIGER 미국나스닥100,133690.KS,550000,2019-02-01,33574.7773,16.381344673381236,199440.0,3267095,2717095,4.940173421198462
2019-03-06,cash,KODEX 단기채권,153130.KS,550000,2019-03-06,98222.0391,5.599557953078409,113255.0,634178,84178,0.1530507926834459
2019-03-06,gold,KODEX 골드선물(H),132030.KS,250000,2019-03-06,9323.7285,26.81330752831789,25450.0,682399,432399,1.7295947063827612
2019-03-06,silver,KODEX 은선물(H),144600.KS,150000,2019-03-06,3404.3281,44.06155766785847,12600.0,555176,405176,2.7011708441001114
2019-03-06,equity,TIGER 미국나스닥100,133690.KS,550000,2019-03-06,35204.1406,15.623162225679241,199440.0,3115883,2565883,4.665242680526306
2019-04-06,cash,KODEX 단기채권,153130.KS,550000,2019-04-05,98393.3594,5.589808128247984,113255.0,633074,83074,0.151043126481319
2019-04-06,gold,KODEX 골드선물(H),132030.KS,250000,2019-04-05,9308.8027,26.85630012083237,25450.0,683493,433493,1.7339713523007352
2019-04-06,silver,KODEX 은선물(H),144600.KS,150000,2019-04-05,3409.3125,43.997140185887915,12600.0,554364,404364,2.695759775614585
2019-04-06,equity,TIGER 미국나스닥100,133690.KS,550000,2019-04-05,37324.7578,14.73552762921896,199440.0,2938854,2388854,4.343370237038963
2019-05-06,cash,KODEX 단기채권,153130.KS,550000,2019-05-03,98525.5391,5.5823089651009745,113255.0,632224,82224,0.14949891244092894
2019-05-06,gold,KODEX 골드선물(H),132030.KS,250000,2019-05-03,9154.5684,27.308769806058663,25450.0,695008,445008,1.780032766256772
2019-05-06,silver,KODEX 은선물(H),144600.KS,150000,2019-05-03,3289.6875,45.59703619264748,12600.0,574523,424523,2.8301510401823884
