report_date,asset,label,symbol,amount_krw,buy_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2020-09-06,cash,KODEX 단기채권,153130.KS,550000,2020-09-04,100317.1719,5.4826107008411915,113255.0,620933,70933,0.12896922713412562
2020-09-06,gold,KODEX 골드선물(H),132030.KS,250000,2020-09-04,13333.8271,18.74930559822772,25450.0,477170,227170,0.908679309899582
2020-09-06,silver,KODEX 은선물(H),144600.KS,100000,2020-09-04,5582.5,17.913121361397224,12600.0,225705,125705,1.25705329153605
2020-09-06,equity,TIGER 미국S&P500,360750.KS,600000,2020-09-04,9729.1953,61.67005396932718,27985.0,1725836,1125836,1.876394100552702
2020-10-06,cash,KODEX 단기채권,153130.KS,550000,2020-10-06,100346.5469,5.48100574586912,113255.0,620751,70751,0.12863873772437673
2020-10-06,gold,KODEX 골드선물(H),132030.KS,250000,2020-10-06,13124.8643,19.0478160451213,25450.0,484767,234767,0.9390676733933485
2020-10-06,silver,KODEX 은선물(H),144600.KS,100000,2020-10-06,5108.9844,19.573361877819405,12600.0,246624,146624,1.4662435966052452
2020-10-06,equity,TIGER 미국S&P500,360750.KS,600000,2020-10-06,9371.2969,64.02528998954587,27985.0,1791748,1191748,1.9862462339290685
2020-11-06,cash,KODEX 단기채권,153130.KS,550000,2020-11-06,100410.1719,5.4775327014148685,113255.0,620358,70358,0.1279235747249836
2020-11-06,gold,KODEX 골드선물(H),132030.KS,250000,2020-11-06,13284.0742,18.81952749459453,25450.0,478957,228957,0.9158278989497233
2020-11-06,silver,KODEX 은선물(H),144600.KS,150000,2020-11-06,5248.5469,28.57933892416651,12600.0,360100,210100,1.4006644696299868
2020-11-06,equity,TIGER 미국S&P500,360750.KS,550000,2020-11-06,9277.3428,59.28421676675966,27985.0,1659069,1109069,2.016488738577762
2020-12-06,cash,KODEX 단기채권,153130.KS,550000,2020-12-04,100434.6484,5.476197791863257,113255.0,620207,70207,0.12764869257722378
2020-12-06,gold,KODEX 골드선물(H),132030.KS,250000,2020-12-04,12587.5312,19.860923880526613,25450.0,505461,255461,1.0218420510376092
2020-12-06,silver,KODEX 은선물(H),144600.KS,100000,2020-12-04,5024.25,19.903468179330247,12600.0,250784,150784,1.507836990595611
2020-12-06,equity,TIGER 미국S&P500,360750.KS,600000,2020-12-04,9442.3379,63.543584962758125,27985.0,1778267,1178267,1.9637787086379768
2021-01-06,cash,KODEX 단기채권,153130.KS,550000,2021-01-06,100483.6094,5.473529498203298,113255.0,619905,69905,0.12709924239820825
2021-01-06,gold,KODEX 골드선물(H),132030.KS,250000,2021-01-06,13284.0742,18.81952749459453,25450.0,478957,228957,0.9158278989497233
2021-01-06,silver,KODEX 은선물(H),144600.KS,150000,2021-01-06,5687.1719,26.37514801678119,12600.0,332327,182327,1.2155124334096197
2021-01-06,equity,TIGER 미국S&P500,360750.KS,550000,2021-01-06,9597.9023,57.30418796750429,27985.0,1603658,1053658,1.9157412732192864
2021-02-06,cash,KODEX 단기채권,153130.KS,550000,2021-02-05,100542.3438,5.4703319963137425,113255.0,619542,69542,0.12644081862275058
2021-02-06,gold,KODEX 골드선물(H),132030.KS,250000,2021-02-05,12224.334,20.451011917667422,25450.0,520478,270478,1.0819130132185433
2021-02-06,silver,KODEX 은선물(H),144600.KS,150000,2021-02-05,5492.7812,27.30856977055112,12600.0,344088,194088,1.293919860726294
2021-02-06,equity,TIGER 미국S&P500,360750.KS,550000,2021-02-05,10395.1221,52.909431585296026,27985.0,1480670,930670,1.6921280780263803
2021-03-06,cash,KODEX 단기채권,153130.KS,550000,2021-03-05,100581.5156,5.468201553559559,113255.0,619301,69301,0.12600212172434166
2021-03-06,gold,KODEX 골드선물(H),132030.KS,250000,2021-03-05,11507.8896,21.724226390539304,25450.0,552882,302882,1.2115262465569008
2021-03-06,silver,KODEX 은선물(H),144600.KS,150000,2021-03-05,5228.6094,28.688316384315858,12600.0,361473,211473,1.409818576282532
2021-03-06,equity,TIGER 미국S&P500,360750.KS,550000,2021-03-05,10107.0254,54.417593579033145,27985.0,1522876,972876,1.768866102380441
2021-04-06,cash,KODEX 단기채권,153130.KS,500000,2021-04-06,100625.5703,4.968915937044767,113255.0,562755,62755,0.1255091489000102
2021-04-06,gold,KODEX 골드선물(H),132030.KS,300000,2021-04-06,11756.6543,25.517463763457098,25450.0,649419,349419,1.1647315092666104
2021-04-06,silver,KODEX 은선물(H),144600.KS,150000,2021-04-06,5183.75,28.93658066071859,12600.0,364601,214601,1.4306727755003616
2021-04-06,equity,TIGER 미국S&P500,360750.KS,550000,2021-04-06,10867.4121,50.610025134275624,27985.0,1416322,866322,1.5751300970594606
2021-05-06,cash,KODEX 단기채권,153130.KS,500000,2021-05-06,100679.4219,4.96625815572106,113255.0,562454,62454,0.12490713485237714
2021-05-06,gold,KODEX 골드선물(H),132030.KS,300000,2021-05-06,12144.7285,24.70207544071735,25450.0,628668,328668,1.095559399887522
