symbol,date,close,currency,fetched_at,source_url
035420.KS,2016-06-21,139400.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-06-22,146000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-06-23,149400.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-06-24,147800.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-06-27,142000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-06-28,143800.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-06-29,142600.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-06-30,142000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-01,142600.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-04,145400.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-05,150000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-06,149000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-07,150600.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-08,150000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-11,150800.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-12,151000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-13,151600.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-14,146800.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-15,143200.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-18,142400.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-19,143600.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-20,139000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-21,140800.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-22,141000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-25,142000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-26,142000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-27,142400.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-28,142000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-07-29,142000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-08-01,140200.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-08-02,142600.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-08-03,141000.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-08-04,141400.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
035420.KS,2016-08-05,144600.0,KRW,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/
