symbol,status,currency,latest_date,latest_price,previous_date,previous_close,price_change,price_change_pct,fetched_at,source_url,message,history_start,history_end,history_rows,return_1m,return_3m,return_6m,return_1y,return_3y,return_5y,return_10y,max_drawdown
035420.KS,ok,KRW,2026-06-22,226000.0,2026-06-19,229500.0,-3500.0,-0.015250544662309368,2026-06-22T11:03:58,https://finance.yahoo.com/quote/035420.KS/,,2016-06-21,2026-06-22,2448,0.11330049261083741,0.020316027088036037,-0.04033970276008492,-0.16141001855287573,0.1385390428211586,-0.4321608040201005,0.5290933694181326,-0.6585903083700441
AMD,ok,USD,2026-06-18,537.3699951171875,2026-06-17,512.47998046875,24.8900146484375,0.04856777941973724,2026-06-22T11:03:59,https://finance.yahoo.com/quote/AMD/,,2016-06-21,2026-06-18,2513,0.27644363899963764,1.694124019999983,1.7124829310061043,3.227930775519259,3.475099824475641,5.589454016036416,97.60000255479734,-0.6544994295506881
KO,ok,USD,2026-06-18,79.38999938964844,2026-06-17,79.93000030517578,-0.5400009155273438,-0.006755922850814459,2026-06-22T11:04:00,https://finance.yahoo.com/quote/KO/,,2016-06-21,2026-06-18,2513,-0.02229061116526232,0.04501774534674219,0.1233904265832424,0.14033318382116922,0.28733584801087697,0.4291629249327311,0.7591402063080874,-0.3753533892217453
PG,ok,USD,2026-06-18,150.3800048828125,2026-06-17,150.55999755859375,-0.17999267578125,-0.001195488035998419,2026-06-22T11:04:00,https://finance.yahoo.com/quote/PG/,,2016-06-21,2026-06-18,2513,0.05611352993477792,0.025015322752339753,0.017387236091388036,-0.05134998214898845,0.005617303961438447,0.11466904455394378,0.8029013101593419,-0.24851693543713882
JNJ,ok,USD,2026-06-18,228.38999938964844,2026-06-17,234.1999969482422,-5.80999755859375,-0.024807846431687826,2026-06-22T11:04:01,https://finance.yahoo.com/quote/JNJ/,,2016-06-21,2026-06-18,2513,-0.0023152139766562385,-0.037466282178791444,0.08586505682199475,0.4988186905840517,0.39067165153284256,0.38108487714353845,0.965828875793812,-0.2782648521005334
GOOGL,ok,USD,2026-06-18,368.0299987792969,2026-06-17,363.7900085449219,4.239990234375,0.01165504861261585,2026-06-22T11:04:02,https://finance.yahoo.com/quote/GOOGL/,,2016-06-21,2026-06-18,2513,-0.07283217484833082,0.1961064573405542,0.24032757234168622,1.0916738002988278,1.9792763087194105,2.005663654902678,9.383421629733716,-0.44320051414405326
MSFT,ok,USD,2026-06-18,379.3999938964844,2026-06-17,378.9100036621094,0.489990234375,0.0012931572923367462,2026-06-22T11:04:02,https://finance.yahoo.com/quote/MSFT/,,2016-06-21,2026-06-18,2513,-0.10421687150661674,-0.0316241210296635,-0.20314206967278792,-0.20634259243003972,0.10828735073838858,0.45984829163102825,6.411603908473793,-0.3755646610503861
005380.KS,ok,KRW,2026-06-22,590000.0,2026-06-19,613000.0,-23000.0,-0.037520391517128875,2026-06-22T11:04:03,https://finance.yahoo.com/quote/005380.KS/,,2016-06-21,2026-06-22,2448,-0.0992366412213741,0.14119922630560922,1.0450606585788562,1.8095238095238093,1.9813036887316828,1.5106382978723403,3.2293906810035846,-0.6123529411764705
