scenario_slug,scenario_title,variant,variant_title,report_date,asset,label,symbol,scenario_amount_krw,reference_return,final_value_krw,profit_krw,buy_date,buy_price_krw,final_price_krw
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-12-06,silver,KODEX 은선물(H),144600.KS,200000,2.60897921,721796,521796,2015-12-04,3469.125,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-12-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.37114227,2191242,1541242,2015-12-04,9671.7959,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-01-06,cash,KODEX 단기채권,153130.KS,250000,0.20541348,301353,51353,2016-01-06,93951.1641,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-01-06,gold,KODEX 골드선물(H),132030.KS,400000,2.07962683,1231851,831851,2016-01-06,8263.9883,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-01-06,silver,KODEX 은선물(H),144600.KS,200000,2.62984036,725968,525968,2016-01-06,3449.1875,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-01-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.46898534,2254840,1604840,2016-01-06,9399.002,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-02-06,cash,KODEX 단기채권,153130.KS,250000,0.20342918,300857,50857,2016-02-05,94106.0781,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-02-06,gold,KODEX 골드선물(H),132030.KS,400000,1.8721281,1148851,748851,2016-02-05,8861.0254,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-02-06,silver,KODEX 은선물(H),144600.KS,200000,2.40820832,681642,481642,2016-02-05,3673.4844,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-02-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.63993754,2365959,1715959,2016-02-05,8957.5713,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-03-06,cash,KODEX 단기채권,153130.KS,250000,0.20228963,300572,50572,2016-03-04,94195.2734,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-03-06,gold,KODEX 골드선물(H),132030.KS,400000,1.62455635,1049823,649823,2016-03-04,9696.877,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-03-06,silver,KODEX 은선물(H),144600.KS,200000,2.31378566,662757,462757,2016-03-04,3778.1562,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-03-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.50038728,2275252,1625252,2016-03-04,9314.6836,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-04-06,cash,KODEX 단기채권,153130.KS,250000,0.20097271,300243,50243,2016-04-06,94298.5625,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-04-06,gold,KODEX 골드선물(H),132030.KS,400000,1.69649984,1078600,678600,2016-04-06,9438.1611,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-04-06,silver,KODEX 은선물(H),144600.KS,200000,2.36709052,673418,473418,2016-04-06,3718.3438,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-04-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.37807174,2195747,1545747,2016-04-06,9651.9561,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-05-06,cash,KODEX 단기채권,153130.KS,250000,0.19947999,299870,49870,2016-05-04,94415.9141,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-05-06,gold,KODEX 골드선물(H),132030.KS,400000,1.59394552,1037578,637578,2016-05-04,9811.3086,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-05-06,silver,KODEX 은선물(H),144600.KS,200000,1.9412758,588255,388255,2016-05-04,4256.6562,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-05-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.34711175,2175623,1525623,2016-05-04,9741.2344,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-06-06,cash,KODEX 단기채권,153130.KS,250000,0.19822874,299557,49557,2016-06-03,94514.5078,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-06-06,gold,KODEX 골드선물(H),132030.KS,400000,1.74571151,1098285,698285,2016-06-03,9269.0,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-06-06,silver,KODEX 은선물(H),144600.KS,200000,2.17152718,634305,434305,2016-06-03,3947.625,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-06-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.29345059,2140743,1490743,2016-06-03,9899.9512,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-07-06,cash,KODEX 단기채권,153130.KS,250000,0.19603072,299008,49008,2016-07-06,94688.2031,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-07-06,gold,KODEX 골드선물(H),132030.KS,400000,1.42199821,968799,568799,2016-07-06,10507.8525,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-07-06,silver,KODEX 은선물(H),144600.KS,200000,1.48206475,496413,296413,2016-07-06,5044.1875,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-07-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.33353335,2166797,1516797,2016-07-06,9780.9131,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-08-06,cash,KODEX 단기채권,153130.KS,250000,0.19490513,298726,48726,2016-08-05,94777.3984,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-08-06,gold,KODEX 골드선물(H),132030.KS,400000,1.44048686,976195,576195,2016-08-05,10428.2471,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-08-06,silver,KODEX 은선물(H),144600.KS,200000,1.51184953,502370,302370,2016-08-05,4984.375,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-08-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.19578382,2077259,1427259,2016-08-04,10202.5049,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-09-06,cash,KODEX 단기채권,153130.KS,250000,0.19401795,298504,48504,2016-09-06,94847.8203,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-09-06,gold,KODEX 골드선물(H),132030.KS,400000,1.51611432,1006446,606446,2016-09-06,10114.8027,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-09-06,silver,KODEX 은선물(H),144600.KS,200000,1.64127185,528254,328254,2016-09-06,4740.1406,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-09-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.16958883,2060233,1410233,2016-09-05,10286.8232,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-10-06,cash,KODEX 단기채권,153130.KS,250000,0.19301415,298254,48254,2016-10-06,94927.625,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-10-06,gold,KODEX 골드선물(H),132030.KS,400000,1.63537376,1054150,654150,2016-10-06,9657.0742,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-10-06,silver,KODEX 은선물(H),144600.KS,200000,1.89383586,578767,378767,2016-10-06,4326.4375,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-10-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.20669639,2084353,1434353,2016-10-06,10167.7852,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-11-06,cash,KODEX 단기채권,153130.KS,250000,0.19236541,298091,48091,2016-11-04,94979.2734,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-11-06,gold,KODEX 골드선물(H),132030.KS,400000,1.57695729,1030783,630783,2016-11-04,9875.9883,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-11-06,silver,KODEX 은선물(H),144600.KS,200000,1.83504462,567009,367009,2016-11-04,4416.1562,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-11-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.29510146,2141816,1491816,2016-11-04,9894.9912,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-12-06,cash,KODEX 단기채권,153130.KS,250000,0.19177645,297944,47944,2016-12-06,95026.2109,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-12-06,gold,KODEX 골드선물(H),132030.KS,400000,1.86408761,1145635,745635,2016-12-06,8885.9014,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-12-06,silver,KODEX 은선물(H),144600.KS,200000,2.08581023,617162,417162,2016-12-06,4057.2812,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2016-12-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.12142818,2028928,1378928,2016-12-06,10445.5391,32605.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-01-06,cash,KODEX 단기채권,153130.KS,250000,0.18957487,297394,47394,2017-01-06,95202.0781,113250.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-01-06,gold,KODEX 골드선물(H),132030.KS,400000,1.84497233,1137989,737989,2017-01-06,8945.6055,25450.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-01-06,silver,KODEX 은선물(H),144600.KS,200000,2.16353845,632708,432708,2017-01-06,3957.5938,12520.0
baseline,Baseline,isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2017-01-06,equity,KODEX 미국S&P500선물(H),219480.KS,650000,2.02936754,1969089,1319089,2017-01-06,10762.9727,32605.0
