observation_date,KORCPIFODMINMEI
1985-01-01,26.6001595246627
1985-02-01,27.1180366906724
1985-03-01,26.8995572612621
1985-04-01,26.8729698174714
1985-05-01,27.2278543932861
1985-06-01,27.2810292808674
1985-07-01,27.1723675540708
1985-08-01,27.3365161200828
1985-09-01,28.0185418521045
1985-10-01,28.1260476030841
1985-11-01,27.0625498514571
1985-12-01,27.3365161200828
1986-01-01,27.9884864808628
1986-02-01,28.4531887592912
1986-03-01,28.3445270324945
1986-04-01,28.2081218860902
1986-05-01,28.4254453396835
1986-06-01,27.8543932860925
1986-07-01,27.8543932860925
1986-08-01,27.7711630272695
1986-09-01,28.1260476030841
1986-10-01,27.2278543932861
1986-11-01,27.0359624076664
1986-12-01,26.8995572612621
1987-01-01,27.1180366906724
1987-02-01,27.1723675540708
1987-03-01,27.3896910076641
1987-04-01,27.7168321638711
1987-05-01,28.7803299154982
1987-06-01,28.6439247690938
1987-07-01,28.3722704521022
1987-08-01,29.5710173743165
1987-09-01,30.0068202573202
1987-10-01,29.8981585305236
1987-11-01,29.6530916573225
1987-12-01,30.1975562671229
1988-01-01,30.5801842625452
1988-02-01,31.3153848821483
1988-03-01,31.6691134821460
1988-04-01,31.3153848821483
1988-05-01,31.4506340527356
1988-06-01,31.7246003213613
1988-07-01,31.8055186285503
1988-08-01,32.1049163651496
1988-09-01,32.2424774873710
1988-10-01,31.7246003213613
1988-11-01,32.1604032043650
1988-12-01,32.7869420971713
1989-01-01,33.0585964141630
1989-02-01,33.1684141167767
1989-03-01,33.2215890043580
1989-04-01,33.2504883997827
1989-05-01,33.8504398487984
1989-06-01,33.6585478631787
1989-07-01,33.1418266729860
1989-08-01,33.7394661703677
1989-09-01,34.4492353219971
1989-10-01,34.3949044585987
1989-11-01,34.2862427318021
1989-12-01,34.0943507461824
1990-01-01,34.8989099148046
1990-02-01,35.1948397239530
1990-03-01,35.3069693782006
1990-04-01,36.2675852821159
1990-05-01,37.1565306853781
1990-06-01,37.3784780422394
1990-07-01,37.4894517206700
1990-08-01,37.8235287317789
1990-09-01,38.4893708023628
1990-10-01,38.4165443258927
1990-11-01,37.8605199579225
1990-12-01,37.8605199579225
1991-01-01,38.9344214919024
1991-02-01,39.9320286219612
1991-03-01,40.4868970141145
1991-04-01,40.8209740252234
1991-05-01,40.4868970141145
1991-06-01,40.6730091206492
1991-07-01,40.7469915729363
1991-08-01,41.9307108095299
1991-09-01,42.4485879755396
1991-10-01,42.1896493925347
1991-11-01,42.1896493925347
1991-12-01,42.1156669402476
1992-01-01,42.5965528801138
1992-02-01,42.8566474389356
1992-03-01,42.8185002369750
1992-04-01,43.2265597003711
1992-05-01,43.7455928421978
1992-06-01,43.7074456402372
1992-07-01,43.6704544140937
1992-08-01,43.8184193186679
1992-09-01,44.1524963297768
1992-10-01,43.5224895095195
1992-11-01,42.3746055232524
1992-12-01,42.4485879755396
