observation_date,KORCPIALLMINMEI
1960-01-01,1.28082080763094
1960-02-01,1.30910078783217
1960-03-01,1.32391981700542
1960-04-01,1.36297787817317
1960-05-01,1.35893692996645
1960-06-01,1.35758550906701
1960-07-01,1.36836359003353
1960-08-01,1.37914167100005
1960-09-01,1.37779025010061
1960-10-01,1.36297787817317
1960-11-01,1.32661600155850
1960-12-01,1.32930552886577
1961-01-01,1.41415212671528
1961-02-01,1.44783113326849
1961-03-01,1.46533303250320
1961-04-01,1.47476634981609
1961-05-01,1.50035680271005
1961-06-01,1.43301210409525
1961-07-01,1.46667779615684
1961-08-01,1.48823395808989
1961-09-01,1.48284158898372
1961-10-01,1.48688253719044
1961-11-01,1.41415212671528
1961-12-01,1.38587214651405
1962-01-01,1.40742165120129
1962-02-01,1.46129874154229
1962-03-01,1.50303967277151
1962-04-01,1.53132631021855
1962-05-01,1.56095771131923
1962-06-01,1.55287581490579
1962-07-01,1.56769484407904
1962-08-01,1.61348338076079
1962-09-01,1.59328529697300
1962-10-01,1.60271195704008
1962-11-01,1.60136053614063
1962-12-01,1.62022051352059
1963-01-01,1.66197475924144
1963-02-01,1.69833663585611
1963-03-01,1.70776329592319
1963-04-01,1.76567467722510
1963-05-01,1.74546993619150
1963-06-01,1.79260989377270
1963-07-01,2.01483541615908
1963-08-01,2.04850776546648
1963-09-01,2.02022112801944
1963-10-01,1.94344976933756
1963-11-01,1.98654877871204
1963-12-01,2.08217345752807
1964-01-01,2.19665145647826
1964-02-01,2.34884275294257
1964-03-01,2.39867223783104
1964-04-01,2.44716361631169
1964-05-01,2.56164161526187
1964-06-01,2.44446743175860
1964-07-01,2.37982557494270
1964-08-01,2.35961417666328
1964-09-01,2.44446743175860
1964-10-01,2.49564833754652
1964-11-01,2.49429691664707
1964-12-01,2.51585307858012
1965-01-01,2.62828064582081
1965-02-01,2.68553295978752
1965-03-01,2.69152448101660
1965-04-01,2.73279940503911
1965-05-01,2.78738882068179
1965-06-01,2.76275701118449
1965-07-01,2.79870613855893
1965-08-01,2.82600084638028
1965-09-01,2.81268635476011
1965-10-01,2.79604324023490
1965-11-01,2.74877679498331
1965-12-01,2.75743121453642
1966-01-01,2.82333794805624
1966-02-01,2.90322489777724
1966-03-01,2.94982561844782
1966-04-01,2.98044894917420
1966-05-01,3.06299879721923
1966-06-01,3.06832459386730
1966-07-01,3.05434437766612
1966-08-01,3.11758821286191
1966-09-01,3.17550625140964
1966-10-01,3.25805609945467
1966-11-01,3.17550625140964
1966-12-01,3.17816914973367
1967-01-01,3.19481226425888
1967-02-01,3.24141298492946
1967-03-01,3.28601653185702
1967-04-01,3.37389217655011
1967-05-01,3.40651268101952
1967-06-01,3.36856637990205
1967-07-01,3.37389217655011
1967-08-01,3.41516710057263
1967-09-01,3.46975651621531
1967-10-01,3.52501165643900
1967-11-01,3.54698056761227
1967-12-01,3.54431766928824
1968-01-01,3.61288730113210
1968-02-01,3.67080533967982
1968-03-01,3.70675446705427
1968-04-01,3.70409156873023
1968-05-01,3.71208026370234
1968-06-01,3.72606047990351
1968-07-01,3.72339758157948
1968-08-01,3.74802939107678
1968-09-01,3.76733540392602
1968-10-01,3.86919126482030
1968-11-01,3.95972980783743
1968-12-01,3.93509799834012
1969-01-01,4.03695385923439
1969-02-01,4.06158566873170
1969-03-01,4.09220899945808
1969-04-01,4.11417791063135
1969-05-01,4.14147261845269
1969-06-01,4.15545283465387
1969-07-01,4.15545283465387
1969-08-01,4.17742174582714
1969-09-01,4.31189811119082
1969-10-01,4.42773418828627
1969-11-01,4.47699780728088
1969-12-01,4.57619076985112
1970-01-01,4.63743743130388
1970-02-01,4.73063887264505
1970-03-01,4.83382618270134
1970-04-01,4.93701349275762
1970-05-01,4.88774987376301
1970-06-01,4.78456256370672
