report_date,asset,amount_krw,buy_asset_date,buy_fx_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2025-01-06,cash,550000,,,,,,570885,20885,0.037973216069770555
2025-01-06,gold,400000,2025-01-06,2025-01-06,3851905.5534,0.103844706068675,6775818.1962,703633,303633,0.7590821223956905
2025-01-06,silver,200000,2025-01-06,2025-01-06,44297.4981,4.5149276727499235,116094.3571,524158,324158,1.620788127395902
2025-01-06,equity,350000,2025-01-06,2025-01-06,856761.5653,0.4085150573705087,1129112.5774,461259,111259,0.31788425523938657
2025-02-06,cash,550000,,,,,,569442,19442,0.035348930631945
2025-02-06,gold,350000,2025-02-06,2025-02-06,4132774.8,0.08468886327897664,6775818.1962,573836,223836,0.6395324023441602
2025-02-06,silver,200000,2025-02-06,2025-02-06,47055.1742,4.250329609941934,116094.3571,493439,293439,1.4671964174501326
2025-02-06,equity,400000,2025-02-06,2025-02-06,864829.9094,0.46251869371892534,1129112.5774,522236,122236,0.30558918590011785
2025-03-06,cash,500000,,,,,,516529,16529,0.03305751782760047
2025-03-06,gold,350000,2025-03-06,2025-03-06,4221311.9853,0.08291261134342828,6775818.1962,561801,211801,0.6051450875272781
2025-03-06,silver,200000,2025-03-06,2025-03-06,47853.402,4.179431169931498,116094.3571,485208,285208,1.426041873391386
2025-03-06,equity,450000,2025-03-06,2025-03-06,817053.8185,0.5507593133016242,1129112.5774,621869,171869,0.38193170615183303
2025-04-06,cash,550000,,,,,,566839,16839,0.030617108374694224
2025-04-06,gold,350000,2025-04-04,2025-04-04,4390773.12,0.07971261334495916,6775818.1962,540118,190118,0.5431947884821262
2025-04-06,silver,150000,2025-04-04,2025-04-04,42444.139,3.5340568437404514,116094.3571,410284,260284,1.7352270479749712
2025-04-06,equity,450000,2025-04-04,2025-04-04,728228.8838,0.6179375880376053,1129112.5774,697721,247721,0.5504913393348116
2025-05-06,cash,550000,,,,,,565587,15587,0.028339473614492627
2025-05-06,gold,300000,2025-05-06,2025-05-06,4698009.3755,0.06385683297348908,6775818.1962,432682,132682,0.44227430270974244
2025-05-06,silver,150000,2025-05-06,2025-05-06,45601.5665,3.2893606830520903,116094.3571,381876,231876,1.545841424923688
2025-05-06,equity,500000,2025-05-06,2025-05-06,760829.6493,0.6571773332561924,1129112.5774,742027,242027,0.48405438512178356
2025-06-06,cash,550000,,,,,,564330,14330,0.026054395642254313
2025-06-06,gold,350000,2025-06-06,2025-06-06,4519802.2896,0.07743701550992345,6775818.1962,524699,174699,0.4991403964311296
2025-06-06,silver,150000,2025-06-06,2025-06-06,49004.0891,3.060969050328059,116094.3571,355361,205361,1.3690748931503198
2025-06-06,equity,450000,2025-06-06,2025-06-06,805761.2436,0.5584780895897873,1129112.5774,630585,180585,0.4012991892387032
2025-07-06,cash,500000,,,,,,511962,11962,0.023924851282248527
2025-07-06,gold,350000,2025-07-04,2025-07-03,4547696.125,0.07696204635924306,6775818.1962,521481,171481,0.4899452403916733
2025-07-06,silver,150000,2025-07-04,2025-07-03,50185.0058,2.9889405712390125,116094.3571,346999,196999,1.3133275600031995
2025-07-06,equity,500000,2025-07-03,2025-07-03,846192.6951,0.5908819621254287,1129112.5774,667172,167172,0.3343445103876659
