report_date,asset,label,symbol,amount_krw,buy_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2022-10-06,silver,KODEX 은선물(H),144600.KS,150000,2022-10-06,4151.9844,36.12730358601121,12595.0,455023,305023,2.0334892577720742
2022-10-06,equity,TIGER 미국S&P500,360750.KS,250000,2022-10-06,12786.8398,19.551351471896,27985.0,547145,297145,1.1885782837640382
2022-11-06,cash,KODEX 단기채권,153130.KS,600000,2022-11-04,101712.3125,5.898990842431195,113255.0,668090,68090,0.11348367976590845
2022-11-06,gold,ACE KRX금현물,411060.KS,500000,2022-11-04,10849.6387,46.08448402029517,29715.0,1369400,869400,1.738800885326142
2022-11-06,silver,KODEX 은선물(H),144600.KS,150000,2022-11-04,3932.6719,38.14200746153021,12595.0,480399,330399,2.20265722651982
2022-11-06,equity,TIGER 미국S&P500,360750.KS,250000,2022-11-04,12742.6357,19.619174953916016,27985.0,549043,299043,1.1961704443413588
2022-12-06,cash,KODEX 단기채권,153130.KS,550000,2022-12-06,102099.0156,5.3869275490382575,113255.0,610096,60096,0.1092663264842324
2022-12-06,gold,ACE KRX금현물,411060.KS,450000,2022-12-06,10814.6406,41.61025924058387,29715.0,1236449,786449,1.7476641185198885
2022-12-06,silver,KODEX 은선물(H),144600.KS,200000,2022-12-06,4441.0781,45.034109819898745,12595.0,567205,367205,1.8360230659081234
2022-12-06,equity,TIGER 미국S&P500,360750.KS,300000,2022-12-06,12704.2412,23.614161209543166,27985.0,660842,360842,1.2028076714968847
2023-01-06,cash,KODEX 단기채권,153130.KS,550000,2023-01-06,102431.8984,5.369421131402625,113255.0,608114,58114,0.1056614367945532
2023-01-06,gold,ACE KRX금현물,411060.KS,400000,2023-01-06,10844.6396,36.88458196558261,29715.0,1096025,696025,1.7400633827682181
2023-01-06,silver,KODEX 은선물(H),144600.KS,200000,2023-01-06,4635.4688,43.14558263390299,12595.0,543419,343419,1.7170930663700408
2023-01-06,equity,TIGER 미국S&P500,360750.KS,350000,2023-01-06,11677.1514,29.97306354899973,27985.0,838796,488796,1.3965605240535925
2023-02-06,cash,KODEX 단기채권,153130.KS,550000,2023-02-06,102774.5547,5.351519173907878,113255.0,606086,56086,0.10197509825624862
2023-02-06,gold,ACE KRX금현물,411060.KS,450000,2023-02-06,10859.6387,41.43784278619134,29715.0,1231325,781325,1.7362788853148352
2023-02-06,silver,KODEX 은선물(H),144600.KS,200000,2023-02-06,4456.0312,44.88298864600647,12595.0,565301,365301,1.826506209982257
2023-02-06,equity,TIGER 미국S&P500,360750.KS,300000,2023-02-06,12441.5928,24.112668326558055,27985.0,674793,374793,1.249310077062424
2023-03-06,cash,KODEX 단기채권,153130.KS,550000,2023-03-06,102916.5312,5.344136586414537,113255.0,605250,55250,0.10045488926250612
2023-03-06,gold,ACE KRX금현물,411060.KS,450000,2023-03-06,11014.6338,40.85474003201529,29715.0,1213999,763999,1.697774666780743
2023-03-06,silver,KODEX 은선물(H),144600.KS,200000,2023-03-06,4171.9219,47.93953625989221,12595.0,603798,403798,2.018992295966712
2023-03-06,equity,TIGER 미국S&P500,360750.KS,300000,2023-03-06,12672.7031,23.672928896138725,27985.0,662487,362487,1.2082897171948073
2023-04-06,cash,KODEX 단기채권,153130.KS,550000,2023-04-06,103435.4062,5.317328175525003,113255.0,602214,52214,0.09493455003469875
2023-04-06,gold,ACE KRX금현물,411060.KS,400000,2023-04-06,12274.5918,32.587641741523036,29715.0,968342,568342,1.4208544358733923
2023-04-06,silver,KODEX 은선물(H),144600.KS,200000,2023-04-06,4889.6719,40.902540111651156,12595.0,515167,315167,1.5758374635312316
2023-04-06,equity,TIGER 미국S&P500,360750.KS,350000,2023-04-06,13019.375,26.88301089722049,27985.0,752321,402321,1.1494887427391869
2023-05-06,cash,KODEX 단기채권,153130.KS,550000,2023-05-04,103685.0703,5.304524540923164,113255.0,600764,50764,0.09229804887682347
2023-05-06,gold,ACE KRX금현물,411060.KS,450000,2023-05-04,12459.5859,36.11677003211007,29715.0,1073210,623210,1.3849107144536683
2023-05-06,silver,KODEX 은선물(H),144600.KS,200000,2023-05-04,5019.2656,39.84646658344566,12595.0,501866,301866,1.5093312330924906
2023-05-06,equity,TIGER 미국S&P500,360750.KS,300000,2023-05-04,13105.6748,22.89084724524823,27985.0,640600,340600,1.135334533860906
