report_date,current_regime,supporting_regime,inflation_risk,liquidity_bubble_risk,credit_stress_risk,fx_risk,climate_supply_shock_risk,growth_slowdown_risk,market_stress_risk,global_rate_divergence_risk,cash_amount,gold_amount,silver_amount,equity_amount
2026-05-27,Inflation Rebound + Dollar/KRW Risk,Liquidity Bubble,6.0,6.2,1.5,6.5,6.0,3.8,,,25,50,15,60
2026-06-21,Defensive Waiting Mode,Defensive Waiting Mode,5.6,5.2,1.5,5.4,3.1,3.5,2.0,4.5,25,40,20,65
