report_date,asset,amount_krw,buy_asset_date,buy_fx_date,buy_price_krw,units,final_price_krw,final_value_krw,profit_krw,return
2020-04-06,cash,650000,,,,,,753442,103442,0.15914144415467657
2020-04-06,gold,250000,2020-04-06,2020-04-06,2053654.2,0.12173422380457236,6776119.35,824886,574886,2.2995425179175735
2020-04-06,silver,100000,2020-04-06,2020-04-06,18504.9307,5.403965124629429,116101.8745,627410,527410,5.274104804809506
2020-04-06,equity,500000,2020-04-06,2020-04-06,298153.6625,1.6769876172531593,1129112.5774,1893508,1393508,2.787015621564777
2020-05-06,cash,550000,,,,,,636962,86962,0.15811220218909172
2020-05-06,gold,250000,2020-05-06,2020-05-06,2058142.8663,0.12146872993599392,6776119.35,823087,573087,2.2923464453568507
2020-05-06,silver,100000,2020-05-06,2020-05-06,18314.5642,5.460135388652505,116101.8745,633932,533932,5.339319534228909
2020-05-06,equity,600000,2020-05-06,2020-05-06,319309.674,1.8790536237915625,1129112.5774,2121663,1521663,2.5361051337160396
2020-06-06,cash,550000,,,,,,636433,86433,0.1571505708575487
2020-06-06,gold,250000,2020-06-05,2020-06-05,2016116.5393,0.12400076837349797,6776119.35,840244,590244,2.3609760239621105
2020-06-06,silver,100000,2020-06-05,2020-06-05,20980.2669,4.766383590853198,116101.8745,553386,453386,4.533860692890375
2020-06-06,equity,600000,2020-06-05,2020-06-05,353079.6872,1.6993331015355704,1129112.5774,1918738,1318738,2.197897296889539
2020-07-06,cash,600000,,,,,,693841,93841,0.1564024098379282
2020-07-06,gold,200000,2020-07-06,2020-07-06,2133072.41,0.09376146776001851,6776119.35,635339,435339,2.1766944798653123
2020-07-06,silver,100000,2020-07-06,2020-07-06,22068.9803,4.531246965957742,116101.8745,526086,426086,4.260862663846944
2020-07-06,equity,600000,2020-07-06,2020-07-06,349125.0091,1.7185821249552464,1129112.5774,1940473,1340473,2.2341211542992023
2020-08-06,cash,550000,,,,,,635606,85606,0.15564710497094825
2020-08-06,gold,250000,2020-08-06,2020-08-06,2431622.435,0.10281201406993927,6776119.35,696666,446666,1.7866659118071504
2020-08-06,silver,100000,2020-08-06,2020-08-06,33646.8262,2.97204851977082,116101.8745,345060,245060,2.4506040412871424
2020-08-06,equity,600000,2020-08-06,2020-08-06,365878.2023,1.6398899859012734,1129112.5774,1851620,1251620,2.0860340143854574
2020-09-06,cash,550000,,,,,,635244,85244,0.15498998897951033
2020-09-06,gold,250000,2020-09-04,2020-09-04,2290595.3691,0.1091419302492468,6776119.35,739559,489559,1.9582349818330864
2020-09-06,silver,100000,2020-09-04,2020-09-04,31641.3859,3.1604178293690337,116101.8745,366930,266930,2.669304340636288
2020-09-06,equity,600000,2020-09-04,2020-09-04,376575.2112,1.593307212435156,1129112.5774,1799023,1199023,1.998372022034279
2020-10-06,cash,550000,,,,,,634917,84917,0.15439395553908164
2020-10-06,gold,250000,2020-10-06,2020-10-06,2209078.1716,0.11316937680636112,6776119.35,766849,516849,2.067396816020099
2020-10-06,silver,100000,2020-10-06,2020-10-06,27736.941,3.6053002416326425,116101.8745,418582,318582,3.1858211604130924
2020-10-06,equity,600000,2020-10-06,2020-10-06,360771.0351,1.6631046886611829,1129112.5774,1877832,1277832,2.129720702496767
