date,contribution_krw,cash_value_krw,gold_value_krw,silver_value_krw,equity_value_krw,total_value_krw,profit_krw,simple_return
2020-04-06,1500000,650000,250000,100000,500000,1500000,0,0.0
2020-05-06,3000000,1200578,500546,198971,1135478,3035574,35574,0.01185791008536885
2020-06-06,4500000,1751575,740325,327932,1855566,4675399,175399,0.03897745478362613
2020-07-06,6000000,2352709,983272,444949,2434783,6215712,215712,0.03595203372660616
2020-08-06,7500000,2904246,1370893,778378,3151619,8205137,705137,0.0940182005542356
2020-09-06,9000000,3455899,1541385,831985,3843761,9673030,673030,0.07478110757773582
2020-10-06,10500000,4007683,1736531,829321,4282445,10855980,355980,0.033902850266115614
2020-11-06,12000000,4559838,1968615,1009586,4869207,12407244,407244,0.03393703003885551
2020-12-06,13500000,5112304,2038421,1019505,5563392,13733622,233622,0.017305334132342365
2021-01-06,15000000,5665175,2374807,1290240,6213136,15543358,543358,0.03622385447233989
2021-02-06,16500000,6218475,2584165,1487416,7224298,17514353,1014353,0.06147596745581252
2021-03-06,18000000,6771962,2675535,1542098,7705591,18695186,695186,0.03862144275358115
2021-04-06,19500000,7276252,3025221,1678772,8677799,20658044,1158044,0.05938685494102769
2021-05-06,21000000,7780603,3467376,1986480,9543146,22777606,1777606,0.08464789967168929
2021-06-06,22500000,8335062,3877400,2148831,10038527,24399820,1899820,0.0844364519167573
2021-07-06,24000000,8839604,4163007,2211447,11000805,26214862,2214862,0.09228590379025747
2021-08-06,25500000,9344864,4466502,2221424,11829748,27862538,2362538,0.09264856522755349
2021-09-06,27000000,9851220,5035237,2431438,12714028,30031922,3031922,0.11229342012266885
2021-10-06,28500000,10359254,5397338,2430989,13086716,31274296,2774296,0.09734372406998992
2021-11-06,30000000,10868836,5925197,2738394,14438508,33970935,3970935,0.13236449681810236
2021-12-06,31500000,11429379,6143452,2668139,14576528,34817498,3317498,0.10531739995758205
2022-01-06,33000000,11941822,6701016,2862829,15656301,37161968,4161968,0.1261202488800215
2022-02-06,34500000,12506008,7136679,3038230,15342931,38023847,3523847,0.10214049055955798
2022-03-06,36000000,13070300,8305228,3726773,15253637,40355939,4355939,0.12099829317753774
2022-04-06,37500000,13637085,8550108,3731577,16093976,42012747,4512747,0.12033991591037152
2022-05-06,39000000,14205569,9249395,3775211,15859974,43090150,4090150,0.10487564828300289
2022-06-06,40500000,14777174,9357452,3876859,15939523,43951008,3451008,0.08521007894612143
2022-07-06,42000000,15351959,9654086,3695173,15835713,44536931,2536931,0.06040312219754984
2022-08-06,43500000,15933822,10248519,4011219,17268324,47461884,3961884,0.09107778908116027
2022-09-06,45000000,16521573,10890666,4025540,17634708,49072487,4072487,0.0904997011550348
2022-10-06,46500000,17163385,11648917,4887941,17448157,51148401,4648401,0.09996560992877224
2022-11-06,48000000,17816969,12057948,5160435,18117202,53152554,5152554,0.10734488181276025
2022-12-06,49500000,18424426,12268128,5287632,17864990,53845176,4345176,0.0877813408960082
2023-01-06,51000000,19035667,12824709,5672836,17348942,54882155,3882155,0.07612067743497075
2023-02-06,52500000,19645354,13131345,5416472,18397041,56590211,4090211,0.07790877206050384
2023-03-06,54000000,20247793,13904437,5503200,19087398,58742827,4742827,0.0878301345405863
2023-04-06,55500000,20858575,15806612,6879238,20077205,63621630,8121630,0.1463356719253428
2023-05-06,57000000,21468024,16291172,7272750,20534939,65566884,8566884,0.15029620948795985
2023-06-06,58500000,22083625,16025863,6756671,21320920,66187080,7687080,0.13140307264191753
2023-07-06,60000000,22750547,15997751,6716785,22331032,67796116,7796116,0.12993526832955626
2023-08-06,61500000,23421641,16764714,7238875,23144921,70570150,9070150,0.14748211690202684
2023-09-06,63000000,24044212,17299564,7429030,23791747,72564552,9564552,0.15181829023250426
2023-10-06,64500000,24667457,17196161,7195687,23616476,72675782,8175782,0.12675630981575337
