variant,title,start,end,valuation_date,cash_symbol,gold_symbol,silver_symbol,equity_symbol,contribution_krw,final_value_krw,profit_krw,simple_return,xirr,max_drawdown,report,note
isa_max_hedged_sp500,ISA 장기 환헤지 S&P500,2015-06-06,2026-04-06,2026-05-27,153130.KS,132030.KS,144600.KS,219480.KS,196500000,366066734,169566734,0.8629350330788803,0.10805249252185262,-0.08247653418884082,reports/backtests/isa_etf_max/isa_max_hedged_sp500.md,2015년 상장된 S&P500 환헤지 ETF를 쓰는 최장 공통 구간
isa_max_unhedged_sp500,ISA 장기 환노출 S&P500,2020-09-06,2026-04-06,2026-05-27,153130.KS,132030.KS,144600.KS,360750.KS,102000000,169935202,67935202,0.6660313921568628,0.17606871447918743,-0.05107621152431596,reports/backtests/isa_etf_max/isa_max_unhedged_sp500.md,환노출 S&P500 ETF 상장 이후 최장 구간. 금은 장기 데이터 확보를 위해 골드선물(H) 유지
isa_max_unhedged_nasdaq100,ISA 장기 환노출 나스닥100,2012-03-06,2026-04-06,2026-05-27,153130.KS,132030.KS,144600.KS,133690.KS,255000000,869291603,614291603,2.4089866784313725,0.15779697225062106,-0.1315835165005318,reports/backtests/isa_etf_max/isa_max_unhedged_nasdaq100.md,현금성 ETF 상장 이후 나스닥100 환노출 ETF를 쓰는 최장 공통 구간
isa_unhedged_gold_sp500,ISA 금+S&P500 환노출,2022-01-06,2026-04-06,2026-05-27,153130.KS,411060.KS,144600.KS,360750.KS,78000000,130255658,52255658,0.6699443333333333,0.2350400563135846,-0.044498828783656075,reports/backtests/isa_etf_max/isa_unhedged_gold_sp500.md,금과 S&P500을 환노출형으로 맞춘 구간. ACE KRX금현물 상장 이후부터 가능
isa_unhedged_gold_nasdaq100,ISA 금+나스닥100 환노출,2022-01-06,2026-04-06,2026-05-27,153130.KS,411060.KS,144600.KS,133690.KS,78000000,135798102,57798102,0.7410013076923077,0.25496923230438273,-0.04484528307047364,reports/backtests/isa_etf_max/isa_unhedged_gold_nasdaq100.md,금과 나스닥100을 환노출형으로 맞춘 구간. ACE KRX금현물 상장 이후부터 가능
